                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.84986,                0.41452,                 1.0722,                0.97028,                0.99953,                 0.9878,                0.76319,                0.96973,                  0.344,                 1.1692,              0.0012476,              0.0012476,              0.0012476
                     79,                0.84544,                 0.4169,                 1.0626,                0.97975,                 0.9949,                0.99152,                0.76882,                0.95964,                0.33164,                 1.1533,              0.0012377,              0.0012377,              0.0012377
                     80,                0.81057,                0.40734,                 1.0394,                0.97834,                      1,                0.98954,                0.75406,                0.99739,                0.33065,                 1.1969,              0.0012278,              0.0012278,              0.0012278
                     81,                0.82859,                0.41991,                 1.0575,                0.97954,                 0.9898,                0.99034,                0.77058,                0.95271,                0.33763,                 1.1366,              0.0012179,              0.0012179,              0.0012179
                     82,                0.80413,                0.39656,                 1.0342,                0.97028,                0.99954,                0.98843,                0.76354,                0.94706,                0.33841,                 1.1406,               0.001208,               0.001208,               0.001208
                     83,                0.82255,                0.41808,                 1.0416,                0.97027,                0.99906,                0.99217,                0.78716,                0.93363,                 0.3346,                 1.1165,              0.0011981,              0.0011981,              0.0011981
                     84,                0.83394,                0.40779,                 1.0556,                0.97394,                 0.9949,                0.99105,                0.77251,                0.95866,                0.33469,                 1.1393,              0.0011882,              0.0011882,              0.0011882
                     85,                0.78968,                 0.3984,                  1.046,                0.98828,                0.98469,                 0.9922,                0.77133,                0.93719,                0.31733,                  1.135,              0.0011783,              0.0011783,              0.0011783
                     86,                0.84047,                0.42888,                 1.0764,                 0.9651,                      1,                 0.9909,                0.77218,                 0.9245,                0.32425,                 1.1457,              0.0011684,              0.0011684,              0.0011684
                     87,                0.82117,                0.40705,                 1.0647,                0.98469,                0.98436,                0.99371,                0.76798,                0.93523,                0.33607,                 1.1618,              0.0011585,              0.0011585,              0.0011585
                     88,                0.81949,                0.39993,                 1.0611,                0.97968,                 0.9839,                0.99275,                0.77047,                0.94229,                0.32933,                 1.1611,              0.0011486,              0.0011486,              0.0011486
                     89,                0.81774,                0.39649,                 1.0639,                0.99216,                0.97959,                 0.9903,                0.76784,                0.91075,                0.31793,                 1.1154,              0.0011387,              0.0011387,              0.0011387
                     90,                0.80994,                0.40383,                 1.0506,                0.97018,                      1,                0.98856,                0.77721,                0.88558,                0.32672,                 1.0936,              0.0011288,              0.0011288,              0.0011288
                     91,                0.78656,                 0.3893,                 1.0387,                0.97989,                0.99453,                0.98985,                0.76975,                0.89222,                0.31882,                 1.1198,              0.0011189,              0.0011189,              0.0011189
                     92,                0.78553,                0.38227,                 1.0362,                0.98917,                 0.9949,                0.99291,                0.76818,                0.95939,                0.33815,                 1.1406,               0.001109,               0.001109,               0.001109
                     93,                0.78358,                0.38494,                 1.0372,                 0.9888,                0.97959,                0.99078,                0.76862,                 0.9175,                0.31499,                 1.1215,              0.0010991,              0.0010991,              0.0010991
                     94,                0.78232,                0.38669,                 1.0336,                0.97995,                0.99767,                0.98808,                0.75683,                0.93312,                0.31823,                 1.1239,              0.0010892,              0.0010892,              0.0010892
                     95,                0.78042,                0.39152,                 1.0368,                0.97977,                0.98839,                0.99044,                0.76149,                0.98919,                0.34046,                 1.1644,              0.0010793,              0.0010793,              0.0010793
                     96,                0.78116,                0.39286,                 1.0365,                0.98476,                0.98907,                0.99071,                0.76528,                0.89954,                0.33004,                 1.1078,              0.0010694,              0.0010694,              0.0010694
                     97,                0.77786,                 0.3875,                 1.0308,                0.98347,                 0.9949,                0.99402,                0.76307,                0.93154,                0.32169,                 1.1218,              0.0010595,              0.0010595,              0.0010595
                     98,                0.78449,                0.38881,                 1.0454,                0.98845,                 0.9898,                0.99147,                0.77453,                0.92191,                0.31922,                 1.1349,              0.0010496,              0.0010496,              0.0010496
                     99,                0.80677,                0.40043,                 1.0648,                0.98789,                0.98469,                0.99188,                0.76749,                0.90756,                 0.3238,                  1.139,              0.0010397,              0.0010397,              0.0010397
                    100,                0.76382,                0.38966,                 1.0278,                0.98782,                0.98469,                0.99148,                0.75989,                 0.9214,                0.31542,                 1.1299,              0.0010298,              0.0010298,              0.0010298
                    101,                0.75731,                0.38195,                 1.0295,                0.98459,                 0.9949,                0.98986,                 0.7533,                 1.0126,                 0.3363,                 1.2053,              0.0010199,              0.0010199,              0.0010199
                    102,                0.81091,                0.40447,                 1.1081,                0.97456,                      1,                0.98997,                0.75039,                0.93457,                0.32378,                 1.1308,                0.00101,                0.00101,                0.00101
                    103,                0.76781,                0.38172,                 1.0255,                0.98833,                 0.9949,                0.99332,                0.75995,                0.94548,                0.32679,                 1.1302,              0.0010001,              0.0010001,              0.0010001
                    104,                0.76287,                0.38252,                 1.0335,                0.97028,                0.99951,                   0.99,                0.75998,                0.92275,                0.32062,                 1.1211,              0.0009902,              0.0009902,              0.0009902
                    105,                0.74818,                0.37146,                 1.0219,                0.97998,                0.99913,                 0.9886,                0.74779,                0.98894,                 0.3308,                 1.1568,              0.0009803,              0.0009803,              0.0009803
                    106,                0.78131,                0.42155,                 1.0407,                0.97892,                 0.9949,                0.99232,                0.75345,                0.92038,                0.31905,                 1.1186,              0.0009704,              0.0009704,              0.0009704
                    107,                0.74892,                0.37355,                 1.0233,                0.98972,                0.98207,                0.99054,                0.76049,                0.93888,                0.33713,                 1.1252,              0.0009605,              0.0009605,              0.0009605
                    108,                0.74391,                0.36987,                 1.0158,                0.97855,                 0.9898,                0.98788,                0.75812,                0.91451,                0.31442,                 1.1179,              0.0009506,              0.0009506,              0.0009506
                    109,                0.74485,                0.38624,                 1.0255,                0.98871,                0.98469,                0.98951,                0.76256,                 0.9158,                0.31823,                 1.1178,              0.0009407,              0.0009407,              0.0009407
                    110,                0.74277,                0.36717,                 1.0252,                0.97408,                      1,                0.99004,                0.76051,                0.92686,                0.31824,                 1.1125,              0.0009308,              0.0009308,              0.0009308
                    111,                0.74335,                0.36858,                 1.0287,                0.96821,                 0.9949,                0.98823,                0.75799,                0.91585,                0.32196,                 1.1178,              0.0009209,              0.0009209,              0.0009209
                    112,                0.72767,                0.37198,                 1.0153,                0.97422,                      1,                 0.9882,                0.76355,                0.92681,                 0.3247,                 1.1469,               0.000911,               0.000911,               0.000911
                    113,                0.72817,                0.37227,                 1.0165,                0.96943,                      1,                0.98958,                0.76153,                0.93123,                0.31646,                 1.1649,              0.0009011,              0.0009011,              0.0009011
