                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.97424,                0.56734,                  1.542,                0.95917,                0.97959,                0.97809,                0.73655,                0.92552,                 0.4529,                 1.5635,              0.0010694,              0.0010694,              0.0010694
                     50,                0.96472,                0.57038,                 1.5295,                0.97473,                 0.9839,                0.99087,                0.75706,                0.91042,                0.42454,                 1.5228,              0.0010496,              0.0010496,              0.0010496
                     51,                0.97182,                0.56665,                 1.5345,                0.96874,                 0.9898,                0.98829,                0.75443,                0.92008,                0.42461,                 1.5583,              0.0010298,              0.0010298,              0.0010298
                     52,                0.96502,                0.55323,                 1.5281,                0.96983,                0.98408,                0.98968,                0.75497,                0.91941,                0.43221,                 1.5637,                0.00101,                0.00101,                0.00101
                     53,                0.96487,                0.54639,                 1.5149,                0.97362,                 0.9898,                0.98983,                 0.7443,                0.95291,                0.41399,                 1.5907,              0.0009902,              0.0009902,              0.0009902
                     54,                0.97382,                0.54882,                 1.5313,                0.96511,                0.98797,                0.98035,                0.75282,                0.89718,                0.43193,                 1.5289,              0.0009704,              0.0009704,              0.0009704
                     55,                0.96476,                 0.5479,                 1.5174,                0.96622,                0.98469,                0.97912,                0.74969,                0.90548,                0.42312,                 1.5536,              0.0009506,              0.0009506,              0.0009506
                     56,                0.96019,                0.54721,                 1.5249,                0.97378,                0.98469,                0.99207,                 0.7644,                0.91412,                0.40049,                 1.5428,              0.0009308,              0.0009308,              0.0009308
                     57,                0.94041,                  0.547,                 1.5014,                0.96535,                 0.9898,                0.98741,                0.75528,                0.90159,                0.40864,                 1.5164,               0.000911,               0.000911,               0.000911
                     58,                0.94953,                0.53118,                 1.4915,                0.97059,                0.97959,                0.98816,                0.76544,                0.89147,                0.40779,                 1.5031,              0.0008912,              0.0008912,              0.0008912
                     59,                0.93002,                 0.5284,                 1.4846,                 0.9715,                0.97959,                0.98779,                0.76727,                 0.8927,                0.40687,                    1.5,              0.0008714,              0.0008714,              0.0008714
                     60,                 0.9458,                0.53538,                 1.5063,                0.96944,                 0.9898,                0.98906,                0.76563,                0.88948,                0.40872,                 1.5023,              0.0008516,              0.0008516,              0.0008516
                     61,                 0.9447,                0.52951,                 1.4996,                0.97084,                0.98469,                0.98743,                0.75634,                0.87483,                0.40973,                 1.4856,              0.0008318,              0.0008318,              0.0008318
                     62,                0.93216,                 0.5324,                 1.4937,                0.96995,                0.98803,                0.99122,                0.76543,                0.90339,                 0.4061,                 1.5523,               0.000812,               0.000812,               0.000812
                     63,                0.95059,                 0.5385,                 1.5099,                0.96505,                0.98604,                0.98744,                0.75598,                0.89785,                0.39957,                 1.5162,              0.0007922,              0.0007922,              0.0007922
                     64,                0.93458,                0.53206,                 1.4965,                0.96979,                 0.9898,                0.98679,                0.75822,                0.89797,                0.40101,                 1.5351,              0.0007724,              0.0007724,              0.0007724
                     65,                0.91968,                0.51933,                 1.4746,                0.97473,                  0.984,                0.99031,                0.76754,                0.89153,                0.40842,                 1.5033,              0.0007526,              0.0007526,              0.0007526
                     66,                0.94043,                0.53327,                    1.5,                0.96495,                 0.9898,                 0.9856,                0.75542,                0.88311,                0.39437,                 1.4864,              0.0007328,              0.0007328,              0.0007328
                     67,                0.91967,                0.51507,                 1.4806,                0.97487,                0.98947,                0.99151,                0.75977,                0.92175,                0.39577,                 1.5731,               0.000713,               0.000713,               0.000713
                     68,                0.91668,                0.51638,                 1.4717,                 0.9636,                 0.9898,                 0.9777,                0.75075,                0.90426,                0.40701,                 1.5319,              0.0006932,              0.0006932,              0.0006932
                     69,                0.91663,                0.51825,                 1.4821,                0.97423,                0.98469,                0.98783,                0.76038,                0.91706,                0.40321,                 1.5432,              0.0006734,              0.0006734,              0.0006734
                     70,                0.92435,                0.50886,                  1.481,                0.97011,                0.99366,                0.99166,                0.76944,                0.90963,                0.39332,                  1.544,              0.0006536,              0.0006536,              0.0006536
                     71,                0.91403,                0.51815,                  1.475,                0.97407,                 0.9898,                0.99089,                0.76854,                0.88842,                0.39272,                 1.5338,              0.0006338,              0.0006338,              0.0006338
                     72,                 0.9097,                0.50529,                 1.4732,                0.96048,                 0.9949,                0.98745,                0.76823,                0.88241,                0.38938,                 1.5055,               0.000614,               0.000614,               0.000614
                     73,                0.89474,                0.50142,                 1.4623,                0.97375,                0.98469,                0.98777,                0.76373,                0.88252,                0.38223,                 1.4926,              0.0005942,              0.0005942,              0.0005942
                     74,                0.90562,                0.50854,                 1.4697,                0.97002,                 0.9904,                0.98834,                0.76361,                0.88275,                0.38612,                  1.505,              0.0005744,              0.0005744,              0.0005744
